# Catálogo de FIIs e FIAGROs (asset_class=fii|fiagro)
#
# Arquivo gerado/atualizado pelo crawler do FundsExplorer:
#   uv run python scripts/crawler/fundsexplorer/generate_fiis_csv.py
#
# O crawler é não-destrutivo: nunca sobrescreve uma célula já preenchida
# (ex.: reclassificação manual de FII → FIAGRO permanece intacta).
#
# Schema canônico: ver data/asset_catalog/README.md.
ticker,cnpj,razao_social,asset_class,sector_category,sector_subcategory,site_ri,fonte
CYCR11,36.501.233/0001-15,CYRELA CRÉDITO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,fii,Papel,,,FundsExplorer 2026-05
CYLD11,43.010.601/0001-98,FII CYLD,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
DAMA11,53.866.872/0001-01,DAMA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESP LIMITA,fii,Fundo de Fundos,Misto,,FundsExplorer 2026-05
DAMT11B,26.642.727/0001-66,DIAMANTE FDO INV IMOB,fii,Tijolo,Shoppings,,FundsExplorer 2026-05
DAYM11,38.293.921/0001-62,Daycoval Real Estate Multiestratégia FII,fii,Multiestratégia,Lajes Corporativas,,FundsExplorer 2026-05
DCRA11,42.888.360/0001-11,Devant,fiagro,Fiagro,,,FundsExplorer 2026-05
DEVA11,37.087.810/0001-37,DEVANT RECEBÍVEIS IMOBILIÁRIOS,fii,Papel,Papéis,,FundsExplorer 2026-05
DLMT11,28.108.193/0001-18,DEL MONTE AJAX FDO INV IMOB,fii,Tijolo,Varejo,,FundsExplorer 2026-05
DMAC11,30.579.348/0001-46,FII MAC,fii,Fundo Misto,Fundo de Desenvolvimento,,FundsExplorer 2026-05
DOMC11,17.374.696/0001-19,FII DOMO,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
DOVL11B,10.522.648/0001-81,DOVEL FDO INV IMOB,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
DPRO11,42.922.127/0001-08,FII DEVA PRO,fii,Tijolo,,,FundsExplorer 2026-05
DRIT11B,10.456.810/0001-00,Multigestão Renda Comercial,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
DVFF11,39.863.059/0001-49,FDO. INVEST. IMOB. DEVANT FOF IMOBILIÁRIOS,fii,Fundo de Fundos,Fundo de Fundos,,FundsExplorer 2026-05
DVLP11,42.537.601/0001-88,SPECIALE REAL ESTATE DEVELOPMENT FDO DE INV IMOB,fii,Outros,Lajes Corporativas,,FundsExplorer 2026-05
DVLT11,54.635.301/0001-10,FII DVLT,fii,Tijolo,Fundo de Desenvolvimento,,FundsExplorer 2026-05
EAGL11,54.422.883/0001-57,FII EAGL,fii,Outros,Outros,,FundsExplorer 2026-05
EDFO11B,06.175.262/0001-73,Edifício Ouroinvest,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
EDGA11,15.333.306/0001-37,Edifício Galeria,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
EDGA11B,,FII GALERIA,fii,Outros,,,FundsExplorer 2026-05
EDGE11,54.306.150/0001-57,FII EDGE,fii,Multiestratégia,Papéis,,FundsExplorer 2026-05
EGAF11,41.224.330/0001-48,Ecoagro I,fiagro,Fiagro,,,FundsExplorer 2026-05
EGDB11,53.866.393/0001-87,FII EGDB,fii,Tijolo,Imóveis Comerciais - Outros,,FundsExplorer 2026-05
EGYR11,36.969.658/0001-53,ENERGY RESORT FDO. INVEST. IMOB,fii,Tijolo,Fundo de Desenvolvimento,,FundsExplorer 2026-05
EIRA11,59.202.651/0001-07,AROEIRA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA,fii,Papel,Outros,,FundsExplorer 2026-05
ELDO11B,13.022.994/0001-99,Eldorado,fii,Tijolo,Shoppings,,FundsExplorer 2026-05
EMET11,53.523.736/0001-00,EMET MULTIESTRATÉGIA FDO DE INV IMOB,fii,Multiestratégia,Misto,,FundsExplorer 2026-05
ENDD11,35.641.061/0001-12,ENDURANCE DEBT FDO. INVEST. PART. INFRA.,fii,Fip,,,FundsExplorer 2026-05
EQIA11,,FIAGRO EQIA,fiagro,Fiagro,Fiagro,,FundsExplorer 2026-05
EQIN11,,FII NCH EQI,fii,Papel,Papéis,,FundsExplorer 2026-05
EQIR11,41.076.380/0001-25,EQI RECEBÍVEIS IMOBILIÁRIOS FDO DE INV IMOBILIÁRIO,fii,Papel,,,FundsExplorer 2026-05
ERCR11,37.266.902/0001-84,ESTOQUE RESIDENCIAL E COMERCIAL RJ,fii,Tijolo,Varejo,,FundsExplorer 2026-05
ERPA11,31.469.385/0001-64,EUROPA 105 - FDO INV IMOB,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
ESTQ11,18.497.672/0001-10,FDO INV IMOB POLO ESTOQUE II,fii,Fundo Misto,Misto,,FundsExplorer 2026-05
